"Scryfall ID","Name","Set Code","Set Name","Collector Number","Rarity","Foil Type","Quantity","Binder Name","Condition","Purchase Price"
"3dbb2755-97d9-492e-8697-5548160678c8","Esoteric Duplicator","big","The Big Score","5","mythic","normal","1","Modern Staples","lightly_played","1.16"
"1676ccbb-91d2-4f26-b3a5-ccb1a21bdebf","Assembly Hall","mmq","Mercadian Masques","286","rare","normal","1","Alpha Collection","moderately_played","0.36"
"7ff23780-d183-4cca-ad0c-448ef325bf36","Apocalypse","tmp","Tempest","162","rare","normal","1","Alpha Collection","near_mint","7.47"
"b1d1298b-9f56-4540-8d6b-7eecfe38cf62","Ancestral Memories","mir","Mirage","52","rare","normal","1","Alpha Collection","lightly_played","0.40"
"64d932b9-5682-4427-a871-7d452a488674","Astarion, the Decadent","clb","Commander Legends: Battle for Baldur's Gate","265","rare","normal","1","Modern Staples","near_mint","1.23"
"7b30c1fe-b3c0-48c7-a451-989eb3776d43","A-Satoru Umezawa","neo","Kamigawa: Neon Dynasty","A-234","rare","normal","2","Draft Pickups","lightly_played",""
"ec79e35f-9e78-462d-8b71-4f044e2eff90","Barrin, Master Wizard","usg","Urza's Saga","63","rare","normal","1","Alpha Collection","lightly_played","4.16"
"6c4d0db1-74a5-42c0-ac95-e696585d8022","Ashiok, Wicked Manipulator","woe","Wilds of Eldraine","78","mythic","normal","1","Draft Pickups","near_mint","0.64"
"74859723-8ddf-4ee6-a0a7-87192c84e8ad","Balduvian Shaman","ice","Ice Age","59","common","normal","1","Alpha Collection","lightly_played","0.13"
"71cb7776-a6af-4efb-b536-6b9b4f3d3874","Contested Game Ball","lci","The Lost Caverns of Ixalan","251","uncommon","normal","2","Draft Pickups","lightly_played","0.21"
"35f55af0-5a46-4900-b3d0-ca796b710e07","Archaeological Dig","inv","Invasion","320","uncommon","normal","1","Alpha Collection","near_mint","0.36"
"e2a01edd-dbc0-4ed4-b827-9b608290e9a1","Detective's Phoenix","mh3","Modern Horizons 3","116","rare","normal","1","Modern Staples","near_mint","0.30"
"a8b85603-0ac6-4587-9724-e35ac06ffab9","Blazing Hellhound","2x2","Double Masters 2022","183","uncommon","normal","1","Modern Staples","moderately_played","0.07"
"a33703bb-51c0-4d57-9d06-1148507ddc4f","Collector's Cage","big","The Big Score","1","mythic","foil","1","Modern Staples","lightly_played","0.74"
"c495e1f3-0845-4556-83e6-de8b9d518d1d","Afiya Grove","mir","Mirage","205","rare","normal","4","Alpha Collection","near_mint","1.48"
"c4785739-821d-49b0-a298-3c2b95e16972","Breathless Knight","mh2","Modern Horizons 2","187","common","normal","1","Modern Staples","near_mint","0.28"
